keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"komunikasi, konseling, pemasaran","komunikasi, konseling, pemasaran",marketing,SMA/Sederajat,sains,Dasar Kesehatan Mental,3.76,Operator Entri Data,sains,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi konseling pemasaran sains,valid,Tidak,23,0,2,11
python,python,"teknologi, ilmu data",SMA/Sederajat,keuangan,Tally ERP,2.52,Operator Entri Data,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,python teknologi data sains keuangan,valid,Tidak,23,0,2,4
akuntansi,akuntansi,"bisnis, keuangan",SMA/Sederajat,bisnis,CFA Level 1,2.84,Staf Administrasi,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi bisnis keuangan,valid,Tidak,32,0,2,1
"sql, konseling, ms office","sql, konseling, ms office",pengembangan karir umum,Sarjana,psikologi,CFA Level 1,3.6,Staf Administrasi,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,sql konseling ms office umum karir pengembangan psikologi,valid,Tidak,32,0,3,9
"analisis data, pemasaran, python","analisis data, pemasaran, python","teknologi, ilmu data",SMA/Sederajat,psikologi,Tally ERP,2.92,Operator Entri Data,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,analisis data pemasaran python teknologi data sains psikologi,valid,Tidak,23,0,2,9
"pemasaran, komunikasi, analisis data","pemasaran, komunikasi, analisis data","teknologi, ilmu data",SMA/Sederajat,keuangan,Sertifikasi Pemasaran Digital,2.68,Operator Entri Data,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,pemasaran komunikasi analisis data teknologi data sains keuangan,valid,Tidak,23,0,2,4
"konseling, sql, python","konseling, sql, python","teknologi, ilmu data",SMA/Sederajat,ilmu komputer,AWS Certified,3.44,Staf Administrasi,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling sql python teknologi data sains komputer sains,valid,Tidak,32,0,2,2
"akuntansi, python","akuntansi, python","teknologi, ilmu data",Magister,seni,Penulisan Kreatif,3.44,Staf Administrasi,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi python teknologi data sains seni,valid,Tidak,32,0,1,12
sql,sql,pengembangan karir umum,Magister,seni,Tidak Ada Sertifikasi,3.48,Operator Entri Data,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,sql umum karir pengembangan seni,valid,Tidak,23,0,1,12
"sql, pembelajaran mesin","sql, pembelajaran mesin","teknologi, ilmu data",SMA/Sederajat,sains,Google Data Analytics,2.76,Operator Entri Data,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,sql pembelajaran mesin teknologi data sains sains,valid,Tidak,23,0,2,11
"analisis data, konseling","analisis data, konseling","teknologi, ilmu data",SMA/Sederajat,ilmu komputer,Tally ERP,3.36,Operator Entri Data,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,analisis data konseling teknologi data sains komputer sains,valid,Tidak,23,0,2,2
python,python,"teknologi, ilmu data",SMA/Sederajat,seni,Dasar Kesehatan Mental,3.44,Staf Administrasi,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python teknologi data sains seni,valid,Tidak,32,0,2,12
"konseling, sql","konseling, sql",pengembangan karir umum,Magister,seni,Tidak Ada Sertifikasi,3.28,Operator Entri Data,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling sql umum karir pengembangan seni,valid,Tidak,23,0,1,12
"komunikasi, konseling, akuntansi","komunikasi, konseling, akuntansi","bisnis, keuangan",Sarjana,psikologi,Tidak Ada Sertifikasi,3.04,Operator Entri Data,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi konseling akuntansi bisnis keuangan psikologi,valid,Tidak,23,0,3,9
"ms office, akuntansi","ms office, akuntansi","bisnis, keuangan",Doktor,seni,AWS Certified,3.32,Operator Entri Data,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office akuntansi bisnis keuangan seni,valid,Tidak,23,0,0,12
"konseling, analisis data, pembelajaran mesin","konseling, analisis data, pembelajaran mesin","teknologi, ilmu data",Magister,teknik,Penulisan Kreatif,2.4,Staf Administrasi,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,konseling analisis data pembelajaran mesin teknologi data sains teknik,valid,Tidak,32,0,1,13
"ms office, pembelajaran mesin","ms office, pembelajaran mesin","teknologi, ilmu data",Magister,seni,Penulisan Kreatif,3.16,Staf Administrasi,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office pembelajaran mesin teknologi data sains seni,valid,Tidak,32,0,1,12
"akuntansi, pembelajaran mesin, analisis keuangan","akuntansi, pembelajaran mesin, analisis keuangan","teknologi, ilmu data",SMA/Sederajat,teknik,CFA Level 1,3.8,Staf Administrasi,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,akuntansi pembelajaran mesin analisis keuangan teknologi data sains teknik,valid,Tidak,32,0,2,13
akuntansi,akuntansi,"bisnis, keuangan",Sarjana,teknik,Tidak Ada Sertifikasi,2.92,Operator Entri Data,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,akuntansi bisnis keuangan teknik,valid,Tidak,23,0,3,13
"konseling, python","konseling, python","teknologi, ilmu data",Doktor,psikologi,CFA Level 1,2.76,Staf Administrasi,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling python teknologi data sains psikologi,valid,Tidak,32,0,0,9
"pembelajaran mesin, akuntansi, analisis keuangan","pembelajaran mesin, akuntansi, analisis keuangan","teknologi, ilmu data",Doktor,psikologi,Penulisan Kreatif,3.32,Staf Administrasi,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pembelajaran mesin akuntansi analisis keuangan teknologi data sains psikologi,valid,Tidak,32,0,0,9
pembelajaran mesin,pembelajaran mesin,"teknologi, ilmu data",SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,2.72,Staf Administrasi,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pembelajaran mesin teknologi data sains bisnis,valid,Tidak,32,0,2,1
sql,sql,pengembangan karir umum,SMA/Sederajat,psikologi,Sertifikasi Pemasaran Digital,3.04,Staf Administrasi,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,sql umum karir pengembangan psikologi,valid,Tidak,32,0,2,9
akuntansi,akuntansi,"bisnis, keuangan",SMA/Sederajat,sains,Tally ERP,3.64,Staf Administrasi,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi bisnis keuangan sains,valid,Tidak,32,0,2,11
"konseling, komunikasi, pemasaran","konseling, komunikasi, pemasaran",marketing,Sarjana,perdagangan,Tally ERP,3.52,Staf Administrasi,perdagangan,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling komunikasi pemasaran perdagangan,valid,Tidak,32,0,3,8
analisis data,analisis data,"teknologi, ilmu data",SMA/Sederajat,teknik,CFA Level 1,2.72,Staf Administrasi,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,analisis data teknologi data sains teknik,valid,Tidak,32,0,2,13
sql,sql,pengembangan karir umum,SMA/Sederajat,keuangan,Penulisan Kreatif,2.64,Operator Entri Data,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,sql umum karir pengembangan keuangan,valid,Tidak,23,0,2,4
pembelajaran mesin,pembelajaran mesin,"teknologi, ilmu data",Doktor,psikologi,Tidak Ada Sertifikasi,2.56,Operator Entri Data,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pembelajaran mesin teknologi data sains psikologi,valid,Tidak,23,0,0,9
"analisis data, sql","analisis data, sql","teknologi, ilmu data",SMA/Sederajat,teknik,CFA Level 1,3.16,Operator Entri Data,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,analisis data sql teknologi data sains teknik,valid,Tidak,23,0,2,13
"ms office, pembelajaran mesin","ms office, pembelajaran mesin","teknologi, ilmu data",Sarjana,bisnis,Tally ERP,2.84,Operator Entri Data,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office pembelajaran mesin teknologi data sains bisnis,valid,Tidak,23,0,3,1
"komunikasi, pemasaran","komunikasi, pemasaran",marketing,Doktor,psikologi,Google Data Analytics,2.8,Staf Administrasi,psikologi,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi pemasaran psikologi,valid,Tidak,32,0,0,9
ms office,ms office,pengembangan karir umum,Doktor,seni,Dasar Kesehatan Mental,3.28,Staf Administrasi,seni,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office umum karir pengembangan seni,valid,Tidak,32,0,0,12
"sql, analisis data, konseling","sql, analisis data, konseling","teknologi, ilmu data",Sarjana,teknik,Google Data Analytics,3.68,Operator Entri Data,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,sql analisis data konseling teknologi data sains teknik,valid,Tidak,23,0,3,13
sql,sql,pengembangan karir umum,Magister,bisnis,Tally ERP,2.44,Operator Entri Data,bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,sql umum karir pengembangan bisnis,valid,Tidak,23,0,1,1
"python, sql","python, sql","teknologi, ilmu data",SMA/Sederajat,teknik,Tally ERP,2.84,Staf Administrasi,teknik,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,python sql teknologi data sains teknik,valid,Tidak,32,0,2,13
"konseling, pembelajaran mesin, komunikasi","konseling, pembelajaran mesin, komunikasi","teknologi, ilmu data",SMA/Sederajat,psikologi,Tally ERP,3.44,Staf Administrasi,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling pembelajaran mesin komunikasi teknologi data sains psikologi,valid,Tidak,32,0,2,9
"konseling, komunikasi, akuntansi","konseling, komunikasi, akuntansi","bisnis, keuangan",SMA/Sederajat,psikologi,CFA Level 1,2.68,Operator Entri Data,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling komunikasi akuntansi bisnis keuangan psikologi,valid,Tidak,23,0,2,9
